,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
478,Fairfield University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fairfield-university-1385\%22,"#3, Regional Universities (North)",71.16%,3.4,1250 / 27
480,Fairmont State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fairmont-state-university-3812\%22,"RNP, Regional Universities (South)",65.65%,3.2,1060 / 23
482,Farmingdale State College--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/farmingdale-state-college-suny-2858\%22,"#27, Regional Colleges (North)",52.65%,3.2,1100 / 24
484,Faulkner University,http://premium.usnews.com/best-colleges/\%22/best-colleges/faulkner-university-1003\%22,"#48, Regional Colleges (South)",60.38%,3.1,1070 / 23
485,Fayetteville State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fayetteville-state-university-2928\%22,"RNP, Regional Universities (South)",54.96%,2.9,920 / 19
486,Felician College,http://premium.usnews.com/best-colleges/\%22/best-colleges/felician-college-2610\%22,"RNP, Regional Universities (North)",89.76%,2.9,950 / 21
487,Ferris State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ferris-state-university-2260\%22,"#62, Regional Universities (Midwest)",70.94%,3.2,N/A / 24
488,Ferrum College,http://premium.usnews.com/best-colleges/\%22/best-colleges/ferrum-college-3711\%22,"#44, Regional Colleges (South)",92.39%,2.8,990 / 21
490,Fisher College,http://premium.usnews.com/best-colleges/\%22/best-colleges/fisher-college-2150\%22,"RNP, Regional Colleges (North)",63.90%,2.3,940 / 20
493,Five Towns College,http://premium.usnews.com/best-colleges/\%22/best-colleges/five-towns-college-121561\%22,"RNP, Regional Colleges (North)",40.94%,2.5,1150 / 20
495,Florida A&M University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-am-university-1480\%22,"RNP, National Universities",48.63%,3.2,1040 / 22
496,Florida Atlantic University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-atlantic-university-1481\%22,"RNP, National Universities",39.00%,3.5,1150 / 25
499,Florida Gulf Coast University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-gulf-coast-university-32553\%22,"#79, Regional Universities (South)",67.62%,3.4,1110 / 23
500,Florida Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-institute-of-technology-1469\%22,"#167, National Universities",59.05%,3.5,1250 / 28
501,Florida International University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-international-university-9635\%22,"RNP, National Universities",40.46%,3.7,1220 / 27
503,Florida Southern College,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-southern-college-1488\%22,"#5, Regional Colleges (South)",55.69%,3.6,1190 / 27
505,Florida State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-state-university-1489\%22,"#91, National Universities",53.68%,3.9,1280 / 29
507,Fordham University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fordham-university-2722\%22,"#57, National Universities",42.92%,3.6,1350 / 30
508,Fort Hays State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fort-hays-state-university-1915\%22,"RNP, Regional Universities (Midwest)",81.00%,3.3,1230 / 23
509,Fort Lewis College,http://premium.usnews.com/best-colleges/\%22/best-colleges/fort-lewis-college-1353\%22,"RNP, National Liberal Arts Colleges",87.34%,3.2,1261 / 24
510,Fort Valley State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fort-valley-state-university-1566\%22,"RNP, Regional Colleges (South)",35.60%,2.7,900 / 18
511,Framingham State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/framingham-state-university-2185\%22,"RNP, Regional Universities (North)",51.67%,3.2,1130 / 25
512,Francis Marion University,http://premium.usnews.com/best-colleges/\%22/best-colleges/francis-marion-university-9226\%22,"#73, Regional Universities (South)",58.85%,3.6,1060 / 22
513,Franciscan University of Steubenville,http://premium.usnews.com/best-colleges/\%22/best-colleges/franciscan-university-of-steubenville-3036\%22,"#28, Regional Universities (Midwest)",76.05%,3.7,1270 / 29
515,Franklin and Marshall College,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-and-marshall-college-3265\%22,"#45, National Liberal Arts Colleges",39.31%,3.5,1400 / 31
516,Franklin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-college-1798\%22,"#6, Regional Colleges (Midwest)",64.98%,3.4,1100 / 24
518,Franklin Pierce University,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-pierce-university-2575\%22,"#126, Regional Universities (North)",84.76%,2.7,1080 / 21
520,Franklin W. Olin College of Engineering,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-w-olin-college-of-engineering-39463\%22,"Unranked, Engineering Schools",19.21%,3.9,1565 / 34
521,Freed-Hardeman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/freed-hardeman-university-3492\%22,"#35, Regional Universities (South)",43.66%,3.5,1190 / 28
522,Fresno Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fresno-pacific-university-1253\%22,"#42, Regional Universities (West)",82.07%,3.8,1120 / 25
524,Frostburg State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/frostburg-state-university-2072\%22,"#135, Regional Universities (North)",59.23%,3.2,1070 / 22
527,Gannon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/gannon-university-3266\%22,"#54, Regional Universities (North)",83.13%,3.5,1130 / 25
528,Gardner-Webb University,http://premium.usnews.com/best-colleges/\%22/best-colleges/gardner-webb-university-2929\%22,"#41, Regional Universities (South)",54.67%,3.6,1130 / 25
529,Geneva College,http://premium.usnews.com/best-colleges/\%22/best-colleges/geneva-college-3267\%22,"#17, Regional Colleges (North)",72.29%,3.5,1200 / 27
530,George Fox University,http://premium.usnews.com/best-colleges/\%22/best-colleges/george-fox-university-3194\%22,"#24, Regional Universities (West)",75.49%,3.6,1250 / 27
531,George Mason University,http://premium.usnews.com/best-colleges/\%22/best-colleges/george-mason-university-3749\%22,"#141, National Universities",65.75%,3.7,1250 / 28
533,Georgetown College,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgetown-college-1964\%22,"#146, National Liberal Arts Colleges",82.19%,3.4,1170 / 26
535,Georgia College & State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-college-state-university-1602\%22,"#29, Regional Universities (South)",66.27%,3.4,1230 / 26
536,Georgia Gwinnett College,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-gwinnett-college-41429\%22,"#57, Regional Colleges (South)",90.73%,2.7,1050 / 21
537,Georgia Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-institute-of-technology-1569\%22,"#36, National Universities",54.93%,3.9,1460 / 32
539,Georgia Southern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-southern-university-1572\%22,"RNP, National Universities",52.00%,3.2,1190 / 25
540,Georgia Southwestern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-southwestern-state-university-1573\%22,"RNP, Regional Universities (South)",66.36%,3.2,1080 / 22
541,Georgia State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-state-university-1574\%22,"RNP, National Universities",57.41%,3.3,1170 / 25
542,Georgian Court University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgian-court-university-2608\%22,"#111, Regional Universities (North)",64.84%,3.1,1000
544,Glenville State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/glenville-state-college-3813\%22,"#71, Regional Colleges (South)",84.07%,2.8,920 / 21
550,Gonzaga University,http://premium.usnews.com/best-colleges/\%22/best-colleges/gonzaga-university-3778\%22,"#4, Regional Universities (West)",66.51%,3.7,1290 / 29
551,Gordon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/gordon-college-2153\%22,"#138, National Liberal Arts Colleges",40.29%,3.6,1288 / 29
553,Goshen College,http://premium.usnews.com/best-colleges/\%22/best-colleges/goshen-college-1799\%22,"#141, National Liberal Arts Colleges",60.03%,3.4,1260 / 28
554,Goucher College,http://premium.usnews.com/best-colleges/\%22/best-colleges/goucher-college-2073\%22,"#110, National Liberal Arts Colleges",71.73%,3.2,1260 / 28
557,Grace College and Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/grace-college-and-seminary-1800\%22,"#48, Regional Colleges (Midwest)",90.93%,3.5,1180 / 27
559,Graceland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/graceland-university-1866\%22,"#92, Regional Universities (Midwest)",47.85%,3.3,1060 / 26
562,Grand Valley State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/grand-valley-state-university-2268\%22,"#30, Regional Universities (Midwest)",81.63%,3.5,N/A / 26
563,Grand View University,http://premium.usnews.com/best-colleges/\%22/best-colleges/grand-view-university-1867\%22,"#55, Regional Colleges (Midwest)",92.33%,3.1,1060 / 23
568,Green Mountain College,http://premium.usnews.com/best-colleges/\%22/best-colleges/green-mountain-college-3687\%22,"RNP, National Liberal Arts Colleges",68.62%,2.8,1190
570,Greenville College,http://premium.usnews.com/best-colleges/\%22/best-colleges/greenville-college-1684\%22,"#33, Regional Colleges (Midwest)",73.57%,3.2,1130 / 25
572,Grove City College,http://premium.usnews.com/best-colleges/\%22/best-colleges/grove-city-college-3269\%22,"#141, National Liberal Arts Colleges",84.20%,3.7,1350 / 29
573,Guilford College,http://premium.usnews.com/best-colleges/\%22/best-colleges/guilford-college-2931\%22,"#173, National Liberal Arts Colleges",80.03%,3.2,1280 / 26
574,Gustavus Adolphus College,http://premium.usnews.com/best-colleges/\%22/best-colleges/gustavus-adolphus-college-2353\%22,"#76, National Liberal Arts Colleges",63.43%,3.6,N/A / 30
575,Gwynedd-Mercy College,http://premium.usnews.com/best-colleges/\%22/best-colleges/gwynedd-mercy-college-3270\%22,"#111, Regional Universities (North)",66.37%,3.3,1060 / 23
577,Hamline University,http://premium.usnews.com/best-colleges/\%22/best-colleges/hamline-university-2354\%22,"#11, Regional Universities (Midwest)",69.99%,3.4,1290 / 27
578,Hampden-Sydney College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hampden-sydney-college-3713\%22,"#97, National Liberal Arts Colleges",55.63%,3.4,1235 / 26
579,Hampshire College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hampshire-college-4661\%22,"#110, National Liberal Arts Colleges",63.69%,3.5,1350 / 29
582,Hanover College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hanover-college-1801\%22,"#115, National Liberal Arts Colleges",63.91%,3.7,1220 / 28
583,Hardin-Simmons University,http://premium.usnews.com/best-colleges/\%22/best-colleges/hardin-simmons-university-3571\%22,"#39, Regional Universities (West)",53.65%,3.6,1150 / 25
584,Harding University,http://premium.usnews.com/best-colleges/\%22/best-colleges/harding-university-10311\%22,"#22, Regional Universities (South)",74.65%,3.6,1220 / 28
588,Hartwick College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hartwick-college-2729\%22,"#161, National Liberal Arts Colleges",84.69%,3.2,1220 / 27
589,Harvard University,http://premium.usnews.com/best-colleges/\%22/best-colleges/harvard-university-2155\%22,"#2, National Universities",6.05%,4.0,1590 / 35
592,Hastings College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hastings-college-2548\%22,"#15, Regional Colleges (Midwest)",69.49%,3.5,1140 / 26
594,Hawaii Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/hawaii-pacific-university-7279\%22,"#71, Regional Universities (West)",72.17%,3.4,1070 / 23
596,Heidelberg University,http://premium.usnews.com/best-colleges/\%22/best-colleges/heidelberg-university-3048\%22,"#53, Regional Universities (Midwest)",70.97%,3.2,1160 / 25
598,Henderson State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/henderson-state-university-1098\%22,"#92, Regional Universities (South)",61.10%,3.2,1086 / 24
599,Hendrix College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hendrix-college-1099\%22,"#82, National Liberal Arts Colleges",82.97%,3.9,1350 / 32
602,High Point University,http://premium.usnews.com/best-colleges/\%22/best-colleges/high-point-university-2933\%22,"#1, Regional Colleges (South)",64.18%,3.2,1200 / 26
604,Hillsdale College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hillsdale-college-2272\%22,"#82, National Liberal Arts Colleges",49.01%,2.9,1430 / 32
605,Hiram College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hiram-college-3049\%22,"#156, National Liberal Arts Colleges",61.94%,3.3,1130 / 25
606,Hobart and William Smith Colleges,http://premium.usnews.com/best-colleges/\%22/best-colleges/hobart-and-william-smith-colleges-2731\%22,"#61, National Liberal Arts Colleges",53.08%,3.3,1310 / 29
608,Hofstra University,http://premium.usnews.com/best-colleges/\%22/best-colleges/hofstra-university-2732\%22,"#135, National Universities",58.71%,3.5,1260 / 28
609,Hollins University,http://premium.usnews.com/best-colleges/\%22/best-colleges/hollins-university-3715\%22,"#110, National Liberal Arts Colleges",65.97%,3.6,1240 / 27
611,Holy Cross College,http://premium.usnews.com/best-colleges/\%22/best-colleges/holy-cross-college-7263\%22,"RNP, National Liberal Arts Colleges",81.34%,3.1,1090 / 24
612,Holy Family University,http://premium.usnews.com/best-colleges/\%22/best-colleges/holy-family-university-3275\%22,"#109, Regional Universities (North)",67.14%,3.1,1020 / 22
614,Hood College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hood-college-2076\%22,"#37, Regional Universities (North)",77.13%,3.5,1200 / 25
615,Hope College,http://premium.usnews.com/best-colleges/\%22/best-colleges/hope-college-2273\%22,"#100, National Liberal Arts Colleges",85.08%,3.8,1330 / 29
617,Houghton College,http://premium.usnews.com/best-colleges/\%22/best-colleges/houghton-college-2734\%22,"#141, National Liberal Arts Colleges",73.37%,3.6,1260 / 27
619,Howard Payne University,http://premium.usnews.com/best-colleges/\%22/best-colleges/howard-payne-university-3575\%22,"#14, Regional Colleges (West)",50.26%,3.5,1070 / 24
622,Humboldt State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/humboldt-state-university-1149\%22,"#53, Regional Universities (West)",79.70%,3.2,1140 / 24
624,Huntingdon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/huntingdon-college-1019\%22,"#26, Regional Colleges (South)",60.54%,3.3,1013 / 24
625,Huntington University,http://premium.usnews.com/best-colleges/\%22/best-colleges/huntington-university-1803\%22,"#16, Regional Colleges (Midwest)",97.33%,3.5,1136 / 27
626,Husson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/husson-university-2043\%22,"RNP, Regional Universities (North)",76.54%,3.3,1040 / 21
629,Illinois College,http://premium.usnews.com/best-colleges/\%22/best-colleges/illinois-college-1688\%22,"#156, National Liberal Arts Colleges",58.12%,3.6,N/A / 26
631,Illinois Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/illinois-institute-of-technology-1691\%22,"#109, National Universities",54.95%,3.9,1340 / 30
632,Illinois State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/illinois-state-university-1692\%22,"#152, National Universities",73.97%,3.4,N/A / 25
633,Illinois Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/illinois-wesleyan-university-1696\%22,"#65, National Liberal Arts Colleges",59.54%,3.5,1350 / 30
634,Immaculata University,http://premium.usnews.com/best-colleges/\%22/best-colleges/immaculata-university-3276\%22,"#190, National Universities",79.64%,3.2,1040 / 21
636,Indiana Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-institute-of-technology-1805\%22,"Unranked, Business Schools",63.87%,2.8,1020 / 22
637,Indiana State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-state-university-9563\%22,"RNP, National Universities",86.33%,3.1,1030 / 22
638,Indiana University East,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-east-1811\%22,"RNP, Regional Colleges (Midwest)",59.72%,3.2,1040 / 24
639,Indiana University Northwest,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-northwest-1815\%22,"RNP, Regional Universities (Midwest)",68.84%,2.7,1030 / 24
641,Indiana University Southeast,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-southeast-1817\%22,"RNP, Regional Universities (Midwest)",77.92%,3.0,1050 / 23
642,Indiana University--Bloomington,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-bloomington-1809\%22,"#75, National Universities",74.41%,3.6,1280 / 29
643,Indiana University--Kokomo,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-kokomo-1814\%22,"RNP, Regional Colleges (Midwest)",70.38%,3.0,1050 / 22
644,Indiana University--South Bend,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-south-bend-1816\%22,"RNP, Regional Universities (Midwest)",71.92%,3.0,1050 / 23
645,Indiana University-Purdue University--Fort Wayne,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-purdue-university-fort-wayne-1812\%22,"RNP, Regional Universities (Midwest)",82.14%,3.2,1110 / 24
646,Indiana University-Purdue University--Indianapolis,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-university-purdue-university-indianapolis-1813\%22,"RNP, National Universities",67.07%,3.3,1120 / 25
647,Indiana Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/indiana-wesleyan-university-1822\%22,"#17, Regional Universities (Midwest)",66.26%,3.6,1180 / 26
659,Iona College,http://premium.usnews.com/best-colleges/\%22/best-colleges/iona-college-2737\%22,"#66, Regional Universities (North)",86.44%,3.1,1110 / 25
660,Iowa State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/iowa-state-university-1869\%22,"#101, National Universities",82.52%,3.6,1300 / 28
664,Jacksonville State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/jacksonville-state-university-1020\%22,"RNP, Regional Universities (South)",82.38%,3.2,1080 / 26
665,Jacksonville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/jacksonville-university-1495\%22,"#62, Regional Universities (South)",45.29%,3.4,1140 / 25
667,Jarvis Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/jarvis-christian-college-3637\%22,"Unranked, Regional Colleges (West)",100.00%,2.5,836 / 18
669,John Brown University,http://premium.usnews.com/best-colleges/\%22/best-colleges/john-brown-university-1100\%22,"#2, Regional Colleges (South)",66.41%,3.6,1250 / 28
670,John Carroll University,http://premium.usnews.com/best-colleges/\%22/best-colleges/john-carroll-university-3050\%22,"#7, Regional Universities (Midwest)",81.46%,3.5,1210 / 27
672,Johns Hopkins University,http://premium.usnews.com/best-colleges/\%22/best-colleges/johns-hopkins-university-2077\%22,"#12, National Universities",17.69%,3.7,1510 / 34
673,Johnson & Wales University,http://premium.usnews.com/best-colleges/\%22/best-colleges/johnson-wales-university-3404\%22,"#74, Regional Universities (North)",69.82%,3.1,1080
674,Johnson C. Smith University,http://premium.usnews.com/best-colleges/\%22/best-colleges/johnson-c-smith-university-2936\%22,"RNP, National Liberal Arts Colleges",38.07%,3.1,950 / 20
679,Judson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/judson-university-1700\%22,"#24, Regional Colleges (Midwest)",65.26%,3.4,1180 / 26
681,Juniata College,http://premium.usnews.com/best-colleges/\%22/best-colleges/juniata-college-3279\%22,"#100, National Liberal Arts Colleges",66.38%,3.7,1285 / 30
682,Kalamazoo College,http://premium.usnews.com/best-colleges/\%22/best-colleges/kalamazoo-college-2275\%22,"#61, National Liberal Arts Colleges",69.01%,3.6,1330 / 30
683,Kansas City Art Institute,http://premium.usnews.com/best-colleges/\%22/best-colleges/kansas-city-art-institute-2473\%22,"Unranked, Arts Schools",63.21%,3.3,1160 / 26
684,Kansas State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kansas-state-university-1928\%22,"#135, National Universities",99.00%,3.5,N/A / 27
685,Kansas Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kansas-wesleyan-university-1929\%22,"#58, Regional Colleges (Midwest)",47.94%,3.4,1110 / 24
687,Kean University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kean-university-2622\%22,"RNP, Regional Universities (North)",68.40%,3.0,1020
688,Keene State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/keene-state-college-2590\%22,"#87, Regional Universities (North)",78.48%,3.0,1080 / 23
691,Kennesaw State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kennesaw-state-university-1577\%22,"#69, Regional Universities (South)",56.54%,3.2,1170 / 24
692,Kent State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kent-state-university-3051\%22,"#201, National Universities",83.02%,3.3,1140 / 25
693,Kentucky Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kentucky-christian-university-1965\%22,"#66, Regional Colleges (South)",58.19%,3.0,1070 / 25
694,Kentucky State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/kentucky-state-university-1968\%22,"RNP, National Liberal Arts Colleges",44.68%,2.4,900 / 19
695,Kentucky Wesleyan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/kentucky-wesleyan-college-1969\%22,"#18, Regional Colleges (South)",21.21%,3.2,1126 / 24
696,Kenyon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/kenyon-college-3065\%22,"#32, National Liberal Arts Colleges",36.00%,3.9,1410 / 32
699,Keuka College,http://premium.usnews.com/best-colleges/\%22/best-colleges/keuka-college-2744\%22,"Unranked, Regional Universities (North)",75.60%,3.1,1040 / 23
700,Keystone College,http://premium.usnews.com/best-colleges/\%22/best-colleges/keystone-college-3280\%22,"#43, Regional Colleges (North)",70.22%,2.9,1000 / 22
701,King University,http://premium.usnews.com/best-colleges/\%22/best-colleges/king-university-3496\%22,"#73, Regional Universities (South)",72.20%,3.4,1100 / 24
702,King's College,http://premium.usnews.com/best-colleges/\%22/best-colleges/kings-college-3282\%22,"#37, Regional Universities (North)",69.83%,3.3,1150
704,Knox College,http://premium.usnews.com/best-colleges/\%22/best-colleges/knox-college-1704\%22,"#82, National Liberal Arts Colleges",77.58%,3.3,1410 / 31
705,Kutztown University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/kutztown-university-of-pennsylvania-3322\%22,"#116, Regional Universities (North)",67.52%,3.1,1060 / 22
707,La Roche College,http://premium.usnews.com/best-colleges/\%22/best-colleges/la-roche-college-3987\%22,"#33, Regional Colleges (North)",51.98%,3.2,1040 / 23
708,La Salle University,http://premium.usnews.com/best-colleges/\%22/best-colleges/la-salle-university-3287\%22,"#27, Regional Universities (North)",73.10%,3.4,1090 / 23
710,Lafayette College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lafayette-college-3284\%22,"#36, National Liberal Arts Colleges",34.49%,3.5,1390 / 30
711,LaGrange College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lagrange-college-1578\%22,"#10, Regional Colleges (South)",49.07%,3.4,1120 / 25
713,Lake Erie College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lake-erie-college-3066\%22,"#106, Regional Universities (Midwest)",63.15%,3.2,1090 / 23
714,Lake Forest College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lake-forest-college-1706\%22,"#110, National Liberal Arts Colleges",56.94%,3.6,N/A / 28
715,Lake Superior State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lake-superior-state-university-2293\%22,"#69, Regional Colleges (Midwest)",89.68%,3.3,N/A / 25
721,Lane College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lane-college-3499\%22,"RNP, National Liberal Arts Colleges",33.43%,2.8,N/A / 17
723,Lasell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lasell-college-2158\%22,"#25, Regional Colleges (North)",69.98%,2.8,1060 / 23
724,Lawrence Technological University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lawrence-technological-university-2279\%22,"#53, Regional Universities (Midwest)",43.65%,3.4,1260 / 28
725,Lawrence University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lawrence-university-3856\%22,"#59, National Liberal Arts Colleges",76.18%,3.6,1430 / 31
726,Le Moyne College,http://premium.usnews.com/best-colleges/\%22/best-colleges/le-moyne-college-2748\%22,"#24, Regional Universities (North)",69.68%,3.4,1190 / 26
728,Lee University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lee-university-3500\%22,"#51, Regional Universities (South)",89.06%,3.5,1210 / 28
729,Lees-McRae College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lees-mcrae-college-2939\%22,"#70, Regional Colleges (South)",67.54%,3.3,1050
732,Lenoir-Rhyne University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lenoir-rhyne-university-2941\%22,"#15, Regional Colleges (South)",83.90%,3.7,1100 / 23
734,LeTourneau University,http://premium.usnews.com/best-colleges/\%22/best-colleges/letourneau-university-3584\%22,"#27, Regional Universities (West)",43.35%,3.6,1320 / 29
735,Lewis & Clark College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lewis-clark-college-3197\%22,"#74, National Liberal Arts Colleges",64.03%,3.7,1370 / 31
736,Lewis University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lewis-university-1707\%22,"#34, Regional Universities (Midwest)",55.94%,3.3,1250 / 25
737,Lewis-Clark State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lewis-clark-state-college-1621\%22,"#20, Regional Colleges (West)",99.11%,3.0,1075 / 23
739,Liberty University,http://premium.usnews.com/best-colleges/\%22/best-colleges/liberty-university-10392\%22,"#89, Regional Universities (South)",22.80%,3.4,1150 / 26
743,Limestone College,http://premium.usnews.com/best-colleges/\%22/best-colleges/limestone-college-3436\%22,"#56, Regional Colleges (South)",54.72%,3.1,1100 / 24
746,Lincoln Memorial University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lincoln-memorial-university-3502\%22,"#66, Regional Universities (South)",65.24%,3.4,1100 / 25
748,Lincoln University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lincoln-university-3290\%22,"RNP, Regional Universities (North)",25.43%,2.8,980
749,Lindenwood University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lindenwood-university-2480\%22,"RNP, Regional Universities (Midwest)",65.76%,3.3,1130 / 25
750,Lindsey Wilson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lindsey-wilson-college-1972\%22,"RNP, Regional Universities (South)",68.13%,3.2,N/A / 24
751,Linfield College,http://premium.usnews.com/best-colleges/\%22/best-colleges/linfield-college-3198\%22,"#123, National Liberal Arts Colleges",82.81%,3.5,1190 / 27
752,Lipscomb University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lipscomb-university-3486\%22,"#20, Regional Universities (South)",52.22%,3.5,1250 / 28
753,LIU Post,http://premium.usnews.com/best-colleges/\%22/best-colleges/liu-post-2754\%22,"#123, Regional Universities (North)",78.82%,3.0,1100 / 24
755,Lock Haven University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/lock-haven-university-of-pennsylvania-3323\%22,"RNP, Regional Universities (North)",75.52%,3.3,1030 / 22
757,Longwood University,http://premium.usnews.com/best-colleges/\%22/best-colleges/longwood-university-3719\%22,"#31, Regional Universities (South)",77.63%,3.4,1130 / 24
758,Loras College,http://premium.usnews.com/best-colleges/\%22/best-colleges/loras-college-1873\%22,"#11, Regional Colleges (Midwest)",67.94%,3.4,N/A / 26
761,Louisiana State University--Alexandria,http://premium.usnews.com/best-colleges/\%22/best-colleges/louisiana-state-university-alexandria-2011\%22,"RNP, National Liberal Arts Colleges",61.08%,3.1,N/A / 23
762,Louisiana State University--Baton Rouge,http://premium.usnews.com/best-colleges/\%22/best-colleges/louisiana-state-university-baton-rouge-2010\%22,"#135, National Universities",76.23%,3.4,1250 / 28
763,Louisiana State University--Shreveport,http://premium.usnews.com/best-colleges/\%22/best-colleges/louisiana-state-university-shreveport-2013\%22,"Unranked, Regional Universities (South)",86.33%,3.3,1120 / 25
764,Louisiana Tech University,http://premium.usnews.com/best-colleges/\%22/best-colleges/louisiana-tech-university-2008\%22,"#190, National Universities",70.81%,3.4,1220 / 27
