,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
82,Austin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/austin-college-3543\%22,"#82, National Liberal Arts Colleges",59.07%,3.6,1330 / 29
83,Austin Peay State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/austin-peay-state-university-3478\%22,"#69, Regional Universities (South)",85.69%,3.2,1100 / 24
84,Ave Maria University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ave-maria-university-39413\%22,"RNP, National Liberal Arts Colleges",61.01%,3.5,1193 / 27
85,Averett University,http://premium.usnews.com/best-colleges/\%22/best-colleges/averett-university-3702\%22,"#23, Regional Colleges (South)",57.73%,3.2,1050 / 21
87,Azusa Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/azusa-pacific-university-1117\%22,"#173, National Universities",52.30%,3.6,1210 / 27
88,Babson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/babson-college-2121\%22,"Unranked, Business Schools",29.90%,3.6,1340 / 29
91,Baker University,http://premium.usnews.com/best-colleges/\%22/best-colleges/baker-university-1903\%22,"#62, Regional Universities (Midwest)",84.28%,3.5,1095 / 26
92,Baldwin Wallace University,http://premium.usnews.com/best-colleges/\%22/best-colleges/baldwin-wallace-university-3014\%22,"#17, Regional Universities (Midwest)",70.03%,3.4,1203 / 27
93,Ball State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ball-state-university-1786\%22,"#181, National Universities",61.16%,3.4,1160 / 23
99,Bard College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bard-college-2671\%22,"#38, National Liberal Arts Colleges",35.16%,3.5,1380
100,Bard College at Simon's Rock,http://premium.usnews.com/best-colleges/\%22/best-colleges/bard-college-at-simons-rock-9645\%22,"#11, Regional Colleges (North)",92.64%,3.4,1490 / 31
101,Barnard College,http://premium.usnews.com/best-colleges/\%22/best-colleges/barnard-college-2708\%22,"#32, National Liberal Arts Colleges",22.57%,3.8,1440 / 31
103,Barton College,http://premium.usnews.com/best-colleges/\%22/best-colleges/barton-college-2908\%22,"#30, Regional Colleges (South)",44.22%,3.1,1060 / 22
107,Bay Path College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bay-path-college-2122\%22,"RNP, National Liberal Arts Colleges",61.35%,3.2,1090 / 25
